Time,linear.x,linear.y,linear.z,angular.x,angular.y,angular.z
1464818242.2023103,0.0,0.0,0.0,0.0,0.0,0.0
1464818242.252237,0.0,0.0,0.0,0.0,0.0,0.0
1464818242.304761,0.0,0.0,0.0,0.0,0.0,0.0
1464818242.3494291,0.0,0.0,0.0,0.0,0.0,0.0
1464818242.4024017,0.0,0.0,0.0,0.0,0.0,0.0
1464818242.4520187,0.0,0.0,0.0,0.0,0.0,0.0
1464818242.5048554,0.0,0.0,0.0,0.0,0.0,0.0
1464818242.5493586,0.0,0.0,0.0,0.0,0.0,0.0
1464818242.602707,0.0,0.0,0.0,0.0,0.0,0.0
1464818242.6522665,0.0,0.0,0.0,0.0,0.0,0.0
1464818242.70464,0.0,0.0,0.0,0.0,0.0,0.0
1464818242.749474,0.0,0.0,0.0,0.0,0.0,0.0
1464818242.8024902,0.0,0.0,0.0,0.0,0.0,0.0
1464818242.852083,0.0,0.0,0.0,0.0,0.0,0.0
1464818242.9049602,0.0,0.0,0.0,0.0,0.0,0.0
1464818242.9494808,0.0,0.0,0.0,0.0,0.0,0.0
1464818243.0024498,0.0,0.0,0.0,0.0,0.0,0.0
1464818243.0523572,0.0,0.0,0.0,0.0,0.0,0.0
1464818243.104936,0.0,0.0,0.0,0.0,0.0,0.0
1464818243.1495242,0.0,0.0,0.0,0.0,0.0,0.0
1464818243.2024333,0.0,0.0,0.0,0.0,0.0,0.0
1464818243.2522545,0.0,0.0,0.0,0.0,0.0,0.0
1464818243.3048587,0.0,0.0,0.0,0.0,0.0,0.0
1464818243.3494356,0.0,0.0,0.0,0.0,0.0,0.0
1464818243.4023483,0.0,0.0,0.0,0.0,0.0,0.0
1464818243.4521348,0.0,0.0,0.0,0.0,0.0,0.0
1464818243.5049076,0.0,0.0,0.0,0.0,0.0,0.0
1464818243.549266,0.0,0.0,0.0,0.0,0.0,0.0
1464818243.6023252,0.0,0.0,0.0,0.0,0.0,0.0
1464818243.652306,0.0,0.0,0.0,0.0,0.0,0.0
1464818243.7048054,0.0,0.0,0.0,0.0,0.0,0.0
1464818243.7494853,0.0,0.0,0.0,0.0,0.0,0.0
1464818243.8027732,0.0,0.0,0.0,0.0,0.0,0.0
1464818243.8520703,0.0,0.0,0.0,0.0,0.0,0.0
1464818243.9048967,0.0022000061023049085,0.0,0.0,0.0,0.0,0.0
1464818243.9494731,0.0,0.0,0.0,0.0,0.0,0.0
1464818244.0023048,0.0,0.0,0.0,0.0,0.0,0.0
1464818244.052208,0.0,0.0,0.0,0.0,0.0,0.0
1464818244.1048038,0.0,0.0,0.0,0.0,0.0,0.0
1464818244.149368,0.0,0.0,0.0,0.0,0.0,0.0
1464818244.2023432,0.0,0.0,0.0,0.0,0.0,0.0
1464818244.2521896,0.0,0.0,0.0,0.0,0.0,0.0
1464818244.3050833,0.0,0.0,0.0,0.0,0.0,0.0
1464818244.3494146,0.0,0.0,0.0,0.0,0.0,0.0
1464818244.402477,0.0,0.0,0.0,0.0,0.0,0.0
1464818244.4521058,0.0,0.0,0.0,0.0,0.0,0.0
1464818244.5048928,0.0,0.0,0.0,0.0,0.0,0.0
1464818244.5493474,0.0,0.0,0.0,0.0,0.0,0.0
1464818244.6024938,0.0,0.0,0.0,0.0,0.0,0.0
1464818244.6527035,0.0,0.0,0.0,0.0,0.0,0.0
1464818244.7049038,0.0,0.0,0.0,0.0,0.0,0.0
1464818244.7494786,0.0,0.0,0.0,0.0,0.0,0.0
1464818244.8023612,0.0,0.0,0.0,0.0,0.0,0.0
1464818244.8520823,0.0,0.0,0.0,0.0,0.0,0.0
1464818244.9049728,0.0,0.0,0.0,0.0,0.0,0.0
1464818244.9496427,0.0,0.0,0.0,0.0,0.0,0.0
1464818245.0025787,0.0,0.0,0.0,0.0,0.0,0.0
1464818245.0525587,0.004400012204609817,0.0,0.0,0.0,0.0,0.0
1464818245.1050153,0.0,0.0,0.0,0.0,0.0,0.0
1464818245.1494572,0.0,0.0,0.0,0.0,0.0,0.0
1464818245.2034698,0.006599987790267909,0.0,0.0,0.0,0.0,0.0
1464818245.252363,0.004400012204609817,0.0,0.0,0.0,0.0,0.0
1464818245.305002,0.0,0.0,0.0,0.0,0.0,0.0
1464818245.3494818,0.013200006097182635,0.0,0.0,0.0,0.0,0.0
1464818245.4024475,0.0,0.0,0.0,0.0,0.0,0.0
1464818245.452279,0.0,0.0,0.0,0.0,0.0,0.0
1464818245.505101,0.0,0.0,0.0,0.0,0.0,0.0
1464818245.5494583,0.0,0.0,0.0,0.0,0.0,0.0
1464818245.6024656,0.0,0.0,0.0,0.0,0.0,0.0
1464818245.6527572,0.0,0.0,0.0,0.0,0.0,0.0
1464818245.705099,0.0,0.0,0.0,0.0,0.0,0.0
1464818245.7495499,0.0022000061023049085,0.0,0.0,0.0,0.0,0.0
1464818245.8024545,0.004400012204609817,0.0,0.0,0.0,0.0,0.0
1464818245.8525898,0.0,0.0,0.0,0.0,0.0,0.0
1464818245.9052005,0.0,0.0,0.0,0.0,0.0,0.0
1464818245.9495971,0.0,0.0,0.0,0.0,0.0,0.0
1464818246.0024555,0.0,0.0,0.0,0.0,0.0,0.0
1464818246.0523374,0.0,0.0,0.0,0.0,0.0,0.0
1464818246.1052253,0.008799993892572818,0.0,0.0,0.0,0.0,0.0
1464818246.1495378,0.0,0.0,0.0,0.0,0.0,0.0
1464818246.202718,0.0,0.0,0.0,0.0,0.0,0.0
1464818246.2522793,0.0,0.0,0.0,0.0,0.0,0.0
1464818246.304853,0.0,0.0,0.0,0.0,0.0,0.0
1464818246.349636,0.0,0.0,0.0,0.0,0.0,0.0
1464818246.4025764,0.0,0.0,0.0,0.0,0.0,0.0
1464818246.4522498,0.004400012204609817,0.0,0.0,0.0,0.0,0.0
1464818246.504996,0.0,0.0,0.0,0.0,0.0,0.0
1464818246.5498621,0.0,0.0,0.0,0.0,0.0,0.0
1464818246.6025598,0.0,0.0,0.0,0.0,0.0,0.0
1464818246.6531646,0.0,0.0,0.0,0.0,0.0,0.0
1464818246.705008,0.0,0.0,0.0,0.0,0.0,0.0
1464818246.7496593,0.0,0.0,0.0,0.0,0.0,0.0
1464818246.8026814,0.0,0.0,0.0,0.0,0.0,0.0
1464818246.8528404,0.0,0.0,0.0,0.0,0.0,0.0
1464818246.9052663,0.0,0.0,0.0,0.0,0.0,0.0
1464818246.9497485,0.0,0.0,0.0,0.0,0.0,0.0
1464818247.0025122,0.0,0.0,0.0,0.0,0.0,0.0
1464818247.0525699,0.0,0.0,0.0,0.0,0.0,0.0
1464818247.1051202,0.0,0.0,0.0,0.0,0.0,0.0
1464818247.1496537,0.004400012204609817,0.0,0.0,0.0,0.0,0.0
1464818247.202515,0.0022000061023049085,0.0,0.0,0.0,0.0,0.0
1464818247.2527583,0.0,0.0,0.0,0.0,0.0,0.0
1464818247.305099,0.0,0.0,0.0,0.0,0.0,0.0
1464818247.3495584,0.0,0.0,0.0,0.0,0.0,0.0
1464818247.4025254,0.0,0.0,0.0,0.0,0.0,0.0
1464818247.4528098,0.0,0.0,0.0,0.0,0.0,0.0
1464818247.5051873,0.0,0.0,0.0,0.0,0.0,0.0
1464818247.5495827,0.0,0.0,0.0,0.0,0.0,0.0
1464818247.6026316,0.0,0.0,0.0,0.0,0.0,0.0
1464818247.652999,0.0,0.0,0.0,0.0,0.0,0.0
1464818247.7052374,0.0,0.0,0.0,0.0,0.0,0.0
